,KO_Gene,Paralog,Perc_ID,FC2,Base_Mean,padj,KO_FC2,significant,upreg
213,VEZF1,PATZ1,21.6885,-0.874492026980184,306.190028306616,1.73150157403042e-10,-0.496368425827731,1,0
222,VEZF1,SNAI3,22.9452,0.00788297360236926,2.53439773646222,,-0.496368425827731,0,0
221,VEZF1,ZBTB1,8.69565,-0.142088546924693,238.95121275959,0.60040123060179,-0.496368425827731,0,0
218,VEZF1,ZFP91,11.4035,0.157468408208074,466.773519448703,0.220010240790588,-0.496368425827731,0,0
217,VEZF1,ZNF76,15.614,-0.109932161933357,180.041042347638,0.723898556835676,-0.496368425827731,0,0
216,VEZF1,HIC2,10.2439,0.160676219625356,71.7107087564846,0.767885389091181,-0.496368425827731,0,0
214,VEZF1,MTF1,12.3506,0.13537770471125,109.310424598947,0.679240035680324,-0.496368425827731,0,0
211,VEZF1,ZNF362,16.6667,-0.437696739537642,41.4908228745275,0.261374578941952,-0.496368425827731,0,0
210,VEZF1,ZNF653,8.94309,0.14577643853888,24.1404580552451,0.849891775239571,-0.496368425827731,0,0
209,VEZF1,HIC1,9.10364,-0.268403387622628,14.7060678258829,0.778324732098911,-0.496368425827731,0,0
208,VEZF1,ZNF276,11.4007,0.103738652261669,206.245041957766,0.765896565667554,-0.496368425827731,0,0
207,VEZF1,ZNF575,21.6327,-0.247661847056752,9.03314483383875,0.855231975617269,-0.496368425827731,0,0
223,VEZF1,SNAI2,20.5224,-0.372843901268162,536.752218278389,0.135058578027933,-0.496368425827731,0,0
242,ZEB2,ZEB1,45.6,0.920387969464682,59.0061555955061,0.00407892073041544,-0.0721124622583465,1,1
